,drug,deltaRMSD_min,deltaRMSD_max,deltaRMSD_mean,deltaRMSD_ratio_min,deltaRMSD_ratio_max,deltaRMSD_ratio_mean
0,dofetilide,0.010630859163917927,0.4785950169032615,0.23420859126035856,0.01920098186558564,0.8644168922592005,0.42301707173563513
0,bepridil,0.010013003191820857,0.30364374138914485,0.15229744893585817,0.0017587579387435756,0.05333423254615439,0.026750650352846413
0,terfenadine,4.743704161924711e-05,0.5079811396165876,0.18378494760669004,9.086571605904674e-06,0.09730385458317378,0.03520403105909649
0,cisapride,0.013038688217241301,0.6832395967531877,0.26518290167900044,0.0012117415701128887,0.06349640454154305,0.024644591564257128
0,verapamil,0.0013159915135396716,0.3083496942734447,0.12701798894762767,0.00023702362311479042,0.05553695519391856,0.02287724778721648
0,ranolazine,5.6364470571557135e-05,0.045267698145530444,0.018358349742366185,4.211811118189207e-05,0.033826095128868146,0.013718198853361067
0,quinidine,0.000710632924266541,0.05061543002921387,0.021439375729538468,0.0005195949656743633,0.0370085901321935,0.01567587331781303
0,sotalol,0.00013556670049474917,0.032829087220624054,0.01456192081741826,0.00011026179267965044,0.02670120314038929,0.011843789723641225
0,chlorpromazine,0.0003569292430731785,0.11349261046227177,0.038831201206607435,0.00018419857775712619,0.05856952838355127,0.02003941165838137
0,ondansetron,0.001329122006068606,0.047518616829768656,0.027922417807422478,0.0014002444178653325,0.05006137710214897,0.02941656935151876
0,diltiazem,0.004819655538662815,0.0271232656647864,0.014653052425004498,0.005324541101741089,0.02996457769379639,0.01618804067573464
0,mexiletine,1.0987804930806533e-05,0.2328859831607284,0.10691796123625305,1.7118541019118394e-06,0.03628266319451316,0.016657371664578334
