,Kmax,Ku,halfmax,n,Vhalf,error
dofetilide,36.99084098756452,1.2720183984525926e-05,151.96886174639374,1.1783858867893018,-0.0001047838987054,0.0217769131073566
bepridil,173161253.2262145,0.0003262576706397,3191140746.4295926,1.0047318552071234,-68.66305167578344,0.0393733154339935
terfenadine,4962020603.237815,5.515180818891723e-05,9770951212.771885,0.6684567351749446,-96.45897374139888,0.030407129316456
cisapride,21.990251799739823,0.0002829637780003,54.032752021917815,1.0406882335486272,-169.8270554260517,0.0430617668973441
verapamil,89389874.03438388,0.0009152196953099,9460714731.869305,1.0439968163368645,-81.90773313819392,0.0252915500903223
ranolazine,91.96180133261406,9.981746564884252,122230.04734084064,0.9505085641668568,-110.49600863662754,0.0119713984839237
quinidine,99.44248493493292,9.099272051352086,9466.599130324594,0.8634779770448591,-79.57336166822427,0.0189609683833703
sotalol,3457533.570754725,0.0174879219693993,5986967195.695674,0.7401989222032394,-69.87220908253438,0.018106790439111
chlorpromazine,49245148.36852373,9.404173255701606,6156886600.454877,0.8808294424364828,-17.106225771650234,0.0297234648360189
ondansetron,13982457.793750836,9.98064632860389,2037554589.8804624,0.8823115772580308,-84.84316898569341,0.0163384515043522
diltiazem,6057203.874580791,9.999975423920068,9812883878.445513,0.9143461566596331,-75.68071579932884,0.012528288213085
mexiletine,26.797458411238694,9.991441864132634,403100.7179420883,1.0830653085348243,-78.48523996366717,0.0222576953840281
