,IKr,IKr,INaL,INaL,ICaL,ICaL,INa,INa,Ito,Ito,IK1,IK1,IKs,IKs
,Hill_coef,IC50,Hill_coef,IC50,Hill_coef,IC50,Hill_coef,IC50,Hill_coef,IC50,Hill_coef,IC50,Hill_coef,IC50
dofetilide,0.9,4.9,0.3,75316.4,1.2,260.3,0.9,380.5,0.8,18.8,0.8,394.3,0.0,0.0
bepridil,0.9,50.0,1.4,1813.9,0.6,2808.1,1.2,2929.3,3.5,8594.0,0.0,0.0,0.7,28628.3
terfenadine,0.6,23.0,0.6,20056.0,0.7,700.4,1.0,4803.2,0.3,239960.8,0.0,0.0,0.5,399754.0
cisapride,0.7,10.1,0.0,0.0,0.4,9258076.0,0.0,0.0,0.2,219112.4,0.5,29498.0,0.3,81192862.0
verapamil,1.0,288.0,1.0,7028.0,1.1,201.8,0.0,0.0,0.8,13429.2,0.3,349000000.0,0.0,0.0
ranolazine,0.9,8270.0,0.9,7884.5,0.0,0.0,1.4,68774.0,0.0,0.0,0.0,0.0,0.5,36155020.0
mexiletine,0.9,28880.0,1.4,8956.8,1.0,38243.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quinidine,0.8,992.0,1.3,9417.0,0.6,51592.3,1.5,12329.0,1.3,3487.4,0.4,39589919.0,1.4,4898.9
sotalol,0.8,110600.0,0.0,0.0,0.9,7061527.0,0.5,1140000000.0,0.7,43143455.0,1.2,3050260.0,1.2,4221856.0
chlorpromazine,0.8,929.2,0.9,4559.6,0.8,8191.9,2.0,4535.6,0.4,17616711.0,0.7,9269.9,0.0,0.0
ondansetron,0.9,1320.0,1.0,19180.8,0.8,22551.4,1.0,57666.4,1.0,1023378.0,0.0,0.0,0.7,569807.0
diltiazem,0.9,13150.0,0.7,21868.5,0.7,112.1,0.7,110859.0,0.2,2820000000.0,0.0,0.0,0.0,0.0
