,Kmax,Ku,halfmax,n,Vhalf,error
dofetilide,37.014638286546585,1.2711373212622588e-05,151.99721221949517,1.1782628721663737,-2.9842713700924093e-06,0.021776917791709
bepridil,433452688.0479298,0.0003260443854417,7987911143.157538,1.0047328231188226,-68.66529756588487,0.0393733144094048
terfenadine,3493732685.0332074,5.513947331798445e-05,6877937543.432478,0.6684291379886438,-96.51091180348791,0.0304071321835457
cisapride,21.99811100257193,0.0002826923623596,54.05588653682794,1.0407345728119566,-180.6797786823624,0.0430617549438964
verapamil,76440016.90083678,0.0009155181652085,8086573399.5161085,1.043938435720401,-81.92484036597114,0.0252915513497481
ranolazine,91.9021901303278,9.93034558191784,122216.85588851664,0.9505693606792768,-110.22655191318816,0.0119713931749316
quinidine,99.53995953204242,7.718047372530346,9474.859734469788,0.8634433025131617,-79.56037363138427,0.0189610006615323
sotalol,5494733.694204315,0.017498870988712,9516501820.482294,0.7402311163395282,-69.88777526922203,0.0181067794712761
chlorpromazine,26985331.45708218,9.40668846352836,3373854885.592436,0.8808235107707761,-17.095513994265428,0.0297234492978431
ondansetron,55315664.71867304,9.990053397217329,8058337450.84293,0.882278248508852,-84.85569319834285,0.0163384600394944
diltiazem,3529606.665778508,9.995799335548044,5716701741.453718,0.914321708600044,-75.68327483745115,0.0125282864701163
mexiletine,26.792262094591447,9.9443945532767,403203.3853688871,1.0831114817189362,-78.48347721348438,0.0222577011340432
