,APD,drug concentration
0,211.3263743341331,0.1
1,211.93442567432857,0.16237767391887217
2,213.0049521084357,0.26366508987303583
3,214.8794082129146,0.42813323987193935
4,218.12480093527927,0.6951927961775606
5,223.64321957986692,1.1288378916846888
6,232.75591007570836,1.8329807108324356
7,247.13689032568226,2.9763514416313175
8,268.41596901693697,4.832930238571752
9,297.385960203677,7.847599703514611
10,333.1654753470785,12.742749857031335
11,373.2001906233398,20.6913808111479
12,414.2170189993924,33.59818286283781
13,453.1016946897258,54.555947811685144
14,487.26262829222856,88.58667904100822
15,514.9124362445525,143.8449888287663
16,535.4145084432292,233.57214690901213
17,549.4130034250035,379.2690190732246
18,558.3515490987471,615.8482110660261
19,563.7853963192194,1000.0
