,drug,deltaRMSD_min,deltaRMSD_max,deltaRMSD_mean,deltaRMSD_ratio_min,deltaRMSD_ratio_max,deltaRMSD_ratio_mean
0,dofetilide,0.9913387715298541,74.87917121156028,22.532262406712643,[0.01089658],[0.82305526],[0.24766964]
0,bepridil,0.05838933956482606,71.19133371446831,19.90244922455854,[0.00037844],[0.46140887],[0.12899276]
0,terfenadine,2.1735884985218945e-05,55.72755499366497,13.294331234947657,[1.39416025e-07],[0.35744182],[0.0852711]
0,cisapride,0.07952277327109414,48.66917267598116,19.975038987873106,[0.00052047],[0.31853799],[0.13073591]
0,verapamil,0.31537388300799307,68.55319241562071,12.446359596410476,[0.00207008],[0.44997642],[0.08169668]
0,ranolazine,0.0030717682205896324,55.01479833414538,14.046339348699936,[0.0001509],[2.70261496],[0.69002974]
0,quinidine,0.06983671591060414,55.617800992154585,26.789269520317426,[0.00198221],[1.57863116],[0.76037482]
0,sotalol,2.3036102420527698,52.94203872542237,34.33547783493343,[0.02999487],[0.68934825],[0.44707575]
0,chlorpromazine,1.391411665227352,45.06657538655515,16.779874540698334,[0.01615737],[0.52332283],[0.19485154]
0,ondansetron,0.9587693534671189,52.00141685593997,30.929310955891697,[0.02786278],[1.51121252],[0.89883631]
0,diltiazem,0.8869659475859777,49.48484907072328,24.749200578585747,[0.01129296],[0.63004694],[0.31510974]
0,mexiletine,0.00033116674977407,64.87322324203583,41.66009643928951,[1.82036998e-05],[3.56597599],[2.28998802]
