,drug,deltaRMSD_min,deltaRMSD_max,deltaRMSD_mean,deltaRMSD_ratio_min,deltaRMSD_ratio_max,deltaRMSD_ratio_mean
0,dofetilide,0.011970010969711842,0.5863232109607566,0.2114462236024209,0.01132733599902653,0.5548432688479389,0.20009358609030367
0,bepridil,0.007368262643770329,0.23422019923387172,0.11768314423987722,0.0016553004617277335,0.0526182117389075,0.026437841919565566
0,terfenadine,2.3176048911999203e-05,0.40436779258497557,0.14521740756754037,5.520463303382708e-06,0.09631915985815315,0.03459033817770036
0,cisapride,0.016154976689632505,0.4767010216096006,0.19999822450345608,0.0019270014529859257,0.056861955230866505,0.02385623183598244
0,verapamil,0.023168098048708785,0.26037741588702623,0.11605181435431074,0.004788913512553027,0.05382077211014363,0.02398824887348178
0,ranolazine,0.0022003319068035765,0.04382621517168195,0.013337069865268902,0.0021619570430452596,0.04306186456118739,0.013104464848983722
0,quinidine,0.001047917883740368,0.06850397062006075,0.023857489393852516,0.000658440252157868,0.043043231143160235,0.014990422032184637
0,sotalol,0.0008970825913363623,0.04987379264087388,0.02332178465654291,0.0006713129040590499,0.03732200457073657,0.017452367415023543
0,chlorpromazine,0.00013062038993449931,0.09597181481897099,0.03354651248128486,7.844777645124693e-05,0.05763859285915829,0.020147308648905904
0,ondansetron,0.0013065751575549456,0.06434792587322757,0.01966396531638087,0.0008953294550033072,0.044094358498659315,0.013474714598787896
0,diltiazem,0.0030323390186495214,0.04498089380903747,0.015527027041443852,0.0022029420175376864,0.032677843852189116,0.011280117449490886
0,mexiletine,5.988244171639678e-06,0.18563580405666658,0.08476376825047964,1.5859573375978946e-06,0.04916473963417911,0.022449271667305117
