,APD,drug concentration
0,266.3897933256247,0.1
1,267.61824470062186,0.16237767391887217
2,269.5908018385902,0.26366508987303583
3,272.73416306226625,0.42813323987193935
4,277.6889559125282,0.6951927961775606
5,285.36410022583397,1.1288378916846888
6,296.9477026910328,1.8329807108324356
7,313.80819032370096,2.9763514416313175
8,337.24532334303046,4.832930238571752
9,368.1593606553679,7.847599703514611
10,406.73914330499605,12.742749857031335
11,452.277897079299,20.6913808111479
12,503.1902213377655,33.59818286283781
13,557.2403734144632,54.555947811685144
14,611.9839625698597,88.58667904100822
15,664.8726468556993,143.8449888287663
16,712.3483257680945,233.57214690901213
17,,379.2690190732246
18,,615.8482110660261
19,,1000.0
