,APD,drug concentration
0,290.0367168561348,0.1
1,290.44890451638975,0.16237767391887217
2,291.1065756606904,0.26366508987303583
3,292.13922501214233,0.42813323987193935
4,293.7359991897958,0.6951927961775606
5,296.1317708026685,1.1288378916846888
6,299.56990287054924,1.8329807108324356
7,304.20077754875444,2.9763514416313175
8,309.93126441145574,4.832930238571752
9,316.34046983360145,7.847599703514611
10,322.76275459220784,12.742749857031335
11,328.52751477284284,20.6913808111479
12,333.2074939776408,33.59818286283781
13,336.70462865028014,54.555947811685144
14,339.1563844442124,88.58667904100822
15,340.8004475959475,143.8449888287663
16,341.8700666240097,233.57214690901213
17,342.5523597770937,379.2690190732246
18,342.98187972756153,615.8482110660261
19,343.25071211303936,1000.0
