,APD,drug concentration
0,236.07142971449628,0.1
1,236.10164500419484,0.20691380811147897
2,236.16036146868498,0.42813323987193935
3,236.27293953348396,0.8858667904100825
4,236.48938010574477,1.8329807108324356
5,236.90517118592862,3.79269019073225
6,237.70341515618304,7.847599703514611
7,239.23024305803926,16.23776739188721
8,242.13583737827543,33.59818286283781
9,247.60815543636323,69.51927961775606
10,257.71594048623274,143.8449888287663
11,275.7440936025062,297.6351441631316
12,306.1112377757811,615.8482110660261
13,356.09776417243114,1274.2749857031322
14,433.9368454098951,2636.6508987303555
15,541.3331730884311,5455.594781168515
16,849.2108028994894,11288.378916846883
17,,23357.21469090121
18,,48329.30238571752
19,,100000.0
