,drug,deltaRMSD_min,deltaRMSD_max,deltaRMSD_mean,deltaRMSD_ratio_min,deltaRMSD_ratio_max,deltaRMSD_ratio_mean
0,dofetilide,2.557939172947883,72.00418641093835,23.11809975543294,[0.0281163],[0.79145407],[0.25410903]
0,bepridil,0.0002998642725060563,68.51751699461909,10.675038277763926,[1.9434955e-06],[0.4440792],[0.0691876]
0,terfenadine,0.7531965205940594,64.87077139409092,10.848969895284167,[0.00483107],[0.41608727],[0.06958632]
0,cisapride,10.041996275271913,54.59322011077023,29.796637437636285,[0.06572451],[0.35731067],[0.19501792]
0,verapamil,1.1742444781583572,79.87510244164301,22.58129964874783,[0.00770763],[0.52429233],[0.14822143]
0,ranolazine,1.0874880474317017,64.65974639487817,20.445777904420645,[0.05342311],[3.17642531],[1.00440367]
0,quinidine,0.43731026960903563,62.64580948504583,27.198428431361776,[0.01241242],[1.77811105],[0.77198821]
0,sotalol,0.22075343812664983,52.51410293146685,32.931628931349955,[0.00287439],[0.68377618],[0.4287965]
0,chlorpromazine,0.6793417111410207,45.23423518180029,16.585675314028794,[0.00788866],[0.52526974],[0.19259645]
0,ondansetron,2.075780593378852,67.84332267812829,37.21955367313557,[0.06032423],[1.97159394],[1.08163698]
0,diltiazem,3.50608680411149,51.29283628190176,25.01101168656826,[0.04463991],[0.65306644],[0.31844315]
0,mexiletine,9.0289769171631,76.5453082232305,51.6342947343455,[0.49630824],[4.2075716],[2.83825354]
