,drug,deltaRMSD_min,deltaRMSD_max,deltaRMSD_mean,deltaRMSD_ratio_min,deltaRMSD_ratio_max,deltaRMSD_ratio_mean
0,dofetilide,0.00027714409398083006,1.4440273650871938,0.47861335102286195,[0.00015361],[0.80034584],[0.26526935]
0,bepridil,0.022774657643049423,0.6964237430662994,0.33841720144458115,[0.00197901],[0.06051605],[0.02940691]
0,terfenadine,0.0035471613033752902,0.9818751590031365,0.32802250583688763,[0.00034636],[0.0958754],[0.03202982]
0,cisapride,0.09483386497280932,0.8084664346481318,0.38248654444047075,[0.00449672],[0.03833494],[0.01813631]
0,verapamil,0.012935711879871192,0.5778158357999654,0.2658664971021854,[0.00117358],[0.05242181],[0.02412049]
0,ranolazine,0.002765050835858762,0.2461562612138739,0.06989269594471118,[0.00135012],[0.12019307],[0.03412717]
0,quinidine,0.00348328317393376,0.2440252147769697,0.06378005944957618,[0.00099676],[0.06982893],[0.01825096]
0,sotalol,0.0009409571789205096,0.13559614572764778,0.057196276105551246,[0.00031245],[0.04502479],[0.01899206]
0,chlorpromazine,0.0055854858771504645,0.19243156298974506,0.0699667691654379,[0.00146132],[0.05034555],[0.01830529]
0,ondansetron,0.006414554216359392,0.25291079829429997,0.0590144954309008,[0.00230995],[0.09107572],[0.02125171]
0,diltiazem,0.005057640989009293,0.1634858083992179,0.04864543952248672,[0.00202149],[0.06534381],[0.01944315]
0,mexiletine,0.0,0.666900322968548,0.2579391676721972,[0.],[0.0677891],[0.02621901]
